symbol,price,price_change,price_percent_change
JHG,Janus Henderson Group plc,,45.94 +1.92 (+4.36%)
RKT,"Rocket Companies, Inc.",,12.70 +0.53 (+4.35%)
AVGO,Broadcom Inc.,,232.00 +9.57 (+4.30%)
SRPT,"Sarepta Therapeutics, Inc.",,119.02 +4.94 (+4.33%)
MAKSY,Marks and Spencer Group plc,,9.02 +0.37 (+4.28%)
CRSP,CRISPR Therapeutics AG,,42.22 +1.73 (+4.27%)
HMC,"Honda Motor Co., Ltd.",,28.70 +1.16 (+4.21%)
EDVMF,Endeavour Mining plc,,22.00 +0.88 (+4.17%)
TM,Toyota Motor Corporation,,195.35 +7.79 (+4.15%)
IFNNY,Infineon Technologies AG,,37.18 +1.48 (+4.15%)
MIRM,"Mirum Pharmaceuticals, Inc.",,52.28 +2.07 (+4.12%)
NVS,Novartis AG,,109.81 +4.34 (+4.11%)
IDYA,"IDEAYA Biosciences, Inc.",,25.10 +0.99 (+4.11%)
HTH,Hilltop Holdings Inc.,,32.28 +1.27 (+4.10%)
CORZ,"Core Scientific, Inc.",,12.71 +0.50 (+4.10%)
RXRX,"Recursion Pharmaceuticals, Inc.",,7.92 +0.31 (+4.07%)
FND,"Floor & Decor Holdings, Inc.",,103.45 +4.03 (+4.05%)
AUR,"Aurora Innovation, Inc.",,7.19 +0.28 (+4.05%)
RNA,"Avidity Biosciences, Inc.",,34.68 +1.34 (+4.02%)
VCEL,Vericel Corporation,,61.80 +2.37 (+3.99%)
IESC,"IES Holdings, Inc.",,223.21 +8.49 (+3.95%)
CCOI,"Cogent Communications Holdings, Inc.",,79.18 +3.00 (+3.94%)
AGI,Alamos Gold Inc.,,22.33 +0.84 (+3.91%)
SITM,SiTime Corporation,,222.99 +8.38 (+3.90%)
KMPR,Kemper Corporation,,68.55 +2.55 (+3.86%)
FORM,"FormFactor, Inc.",,41.12 +1.52 (+3.84%)
SATS,EchoStar Corporation,,28.45 +1.04 (+3.79%)
NVO,Novo Nordisk A/S,,85.73 +3.11 (+3.76%)
SOUHY,South32 Limited,,11.08 +0.40 (+3.75%)
COMP,"Compass, Inc.",,7.51 +0.27 (+3.73%)
TECH,Bio-Techne Corporation,,75.25 +2.70 (+3.72%)
NEM,Newmont Corporation,,44.96 +1.61 (+3.71%)
PTON,"Peloton Interactive, Inc.",,7.58 +0.27 (+3.69%)
PCG,PG&E Corporation,,15.74 +0.56 (+3.69%)
CNK,"Cinemark Holdings, Inc.",,30.55 +1.08 (+3.66%)
XPO,"XPO, Inc.",,136.31 +4.81 (+3.66%)
INGM,Ingram Micro Holding Corporation,,24.67 +0.87 (+3.66%)
IREN,IREN Limited,,11.07 +0.39 (+3.65%)
AU,AngloGold Ashanti plc,,31.98 +1.12 (+3.63%)
GRP-UN,Granite Real Estate Investment Trust,,48.80 +1.69 (+3.59%)
AAON,"AAON, Inc.",,114.90 +3.97 (+3.58%)
KGC,Kinross Gold Corporation,,11.88 +0.41 (+3.57%)
OTTR,Otter Tail Corporation,,78.88 +2.70 (+3.54%)
STRL,"Sterling Infrastructure, Inc.",,143.48 +4.91 (+3.54%)
NUVL,"Nuvalent, Inc.",,88.96 +3.04 (+3.54%)
GRFS,"Grifols, S.A.",,7.06 +0.24 (+3.52%)
SCBFY,Standard Chartered PLC,,27.74 +0.94 (+3.51%)
VKTX,"Viking Therapeutics, Inc.",,33.50 +1.13 (+3.49%)
CVCO,"Cavco Industries, Inc.",,533.84 +17.98 (+3.49%)
CALX,"Calix, Inc.",,42.17 +1.42 (+3.48%)
OTEX,Open Text Corporation,,30.39 +1.02 (+3.47%)
LAD,"Lithia Motors, Inc.",,383.22 +12.86 (+3.47%)
TSCDY,Tesco PLC,,14.62 +0.49 (+3.47%)
TKR,The Timken Company,,81.64 +2.73 (+3.46%)
AZTA,"Azenta, Inc.",,53.76 +1.79 (+3.44%)
VICR,Vicor Corporation,,50.85 +1.69 (+3.44%)
CDW,CDW Corporation,,206.13 +6.79 (+3.41%)
OMF,"OneMain Holdings, Inc.",,56.78 +1.87 (+3.41%)
TMDX,"TransMedics Group, Inc.",,74.57 +2.43 (+3.37%)
HAE,Haemonetics Corporation,,71.24 +2.32 (+3.37%)
FLG,"Flagstar Financial, Inc.",,12.29 +0.40 (+3.36%)
ATI,ATI Inc.,,65.86 +2.14 (+3.36%)
SPG,"Simon Property Group, Inc.",,179.11 +5.76 (+3.32%)
VCYT,"Veracyte, Inc.",,45.20 +1.45 (+3.31%)
LITE,Lumentum Holdings Inc.,,89.19 +2.86 (+3.31%)
SMNEY,Siemens Energy AG,,58.32 +1.86 (+3.29%)
PCVX,"Vaxcyte, Inc.",,89.34 +2.82 (+3.27%)
PAAS,Pan American Silver Corp.,,24.99 +0.79 (+3.26%)
CMPGY,Compass Group PLC,,35.49 +1.12 (+3.26%)
USM,United States Cellular Corporation,,64.52 +2.03 (+3.25%)
MU,"Micron Technology, Inc.",,93.60 +2.94 (+3.24%)
SLM,SLM Corporation,,29.95 +0.94 (+3.24%)
FN,Fabrinet,,213.80 +6.67 (+3.22%)
OKTA,"Okta, Inc.",,97.45 +3.04 (+3.22%)
GEV,GE Vernova Inc.,,367.93 +11.40 (+3.20%)
BA,The Boeing Company,,181.84 +5.61 (+3.18%)
RRC,Range Resources Corporation,,38.94 +1.20 (+3.18%)
TWST,Twist Bioscience Corporation,,53.66 +1.64 (+3.15%)
STEP,StepStone Group Inc.,,64.82 +1.98 (+3.15%)
AEM,Agnico Eagle Mines Limited,,98.60 +3.01 (+3.15%)
ARGX,argenx SE,,671.74 +20.45 (+3.14%)
PATH,UiPath Inc.,,14.88 +0.45 (+3.12%)
PRCT,PROCEPT BioRobotics Corporation,,73.81 +2.22 (+3.10%)
HOOD,"Robinhood Markets, Inc.",,54.20 +1.62 (+3.08%)
OSCR,"Oscar Health, Inc.",,15.75 +0.47 (+3.08%)
CRVL,CorVel Corporation,,128.46 +3.83 (+3.07%)
RCI,Rogers Communications Inc.,,28.56 +0.85 (+3.07%)
HAS,"Hasbro, Inc.",,58.90 +1.75 (+3.06%)
TCBI,"Texas Capital Bancshares, Inc.",,82.51 +2.45 (+3.06%)
AMBA,"Ambarella, Inc.",,78.76 +2.33 (+3.05%)
SFTBY,SoftBank Group Corp.,,32.50 +0.96 (+3.04%)
KKR,KKR & Co. Inc.,,153.81 +4.51 (+3.02%)
ESS,"Essex Property Trust, Inc.",,295.79 +8.65 (+3.01%)
SBAC,SBA Communications Corporation,,203.48 +5.94 (+3.01%)
FLEX,Flex Ltd.,,43.18 +1.26 (+3.01%)
